State/ UTs,No. of charging stations
Maharashtra,317
Andhra Pradesh,266
Tamil Nadu,281
Gujarat,278
Uttar Pradesh,207
Rajasthan,205
Karnataka,172
Madhya Pradesh,235
West Bengal,141
Telangana,138
Kerala,211
Delhi,72
Chandigarh,70
Haryana,50
Meghalaya,40
Bihar,37
Sikkim,29
Jammu & Kashmir,25
Chhattisgarh,25
Assam,20
Odisha,18
Uttarakhand,10
Puducherry,10
Andaman and Nicobar,10
Himachal Pradesh,10
